date,title,subtitle,image,text
1614,Invention du logarithme,John Napier,card_1614.png,"John Napier invente les logarithmes, une méthode qui permet de transformer les multiplications en additions et les divisions en soustractions. Les calculs scientifiques deviennent plus rapides et cette innovation sera utilisée pendant plus de trois siècles. Associés aux tables logarithmiques puis aux règles à calcul, ils seront des outils essentiels pour les ingénieurs, astronomes et scientifiques avant l’arrivée des calculateurs électroniques."
1622,Invention de la règle à calcul,William Oughtred,card_1622.png,"William Oughtred invente la règle à calcul en exploitant les logarithmes de Napier pour simplifier les multiplications, divisions et calculs complexes. Pendant près de 350 ans, elle est l’outil des scientifiques, jusqu’à l’apparition des calculatrices électroniques. Compacte et rapide, elle permet d’effectuer des calculs avec une précision remarquable et accompagne de grandes avancées scientifiques, de l’ingénierie industrielle à la conquête spatiale."
1642,Invention de la Pascaline,Blaise Pascal,card_1642.png,"Blaise Pascal invente la Pascaline, première machine à calculer mécanique. Grâce à ses roues dentées, elle automatise les opérations arithmétiques et libère le calcul de la seule intervention humaine. Cette invention marque la naissance du calcul mécanique."
1690,Invention de la calculatrice mécanique de Leibniz,Gottfried Wilhelm Leibniz,card_1690.png,"Gottfried Wilhelm Leibniz conçoit une machine arithmétique capable de multiplier. Grâce à ses cylindres cannelés, elle mémorise le multiplicande et automatise le calcul. Leibniz s’intéresse également au système binaire, ouvrant la voie aux fondements théoriques de l’informatique."
1703,Le calcul binaire expliqué,Gottfried Wilhelm Leibniz,card_1703.png,"Leibniz publie Explication de l'Arithmétique Binaire, démontrant que tous les nombres peuvent être représentés avec seulement deux chiffres : 0 et 1. Cette idée, purement théorique à l'époque, montre qu’un système de numération simple peut représenter toute l’arithmétique et les opérations mathématiques. Elle deviendra trois siècles plus tard le langage fondamental des ordinateurs, où les bits permettront de stocker et traiter toutes les informations numériques."
1801,Invention du métier à tisser Jacquard,Joseph Marie Jacquard,card_1801.png,"Le lyonnais Joseph Marie Jacquard met au point un métier à tisser programmable grâce à des cartes perforées. Ces cartes commandent les motifs du tissu et permettent de mémoriser des instructions. Le métier Jacquard est ainsi considéré comme l’un des premiers systèmes programmables, ancêtre de l’ordinateur et du robot."
1831,Invention du télégraphe électrique,Samuel Morse,card_1831.png,"Samuel Morse et d'autres inventeurs mettent au point le télégraphe électrique, capable de transmettre rapidement des messages sur de longues distances. Les informations sont codées sous forme d'impulsions électriques grâce au code Morse. Cette invention marque les débuts des communications numériques."
1834,Le principe de l’ordinateur analytique,Charles Babbage,card_1834.png,"En développant sa machine à différences, Charles Babbage imagine la machine analytique et y intègre des cartes perforées inspirées du métier Jacquard. Ces cartes auraient permis de donner des instructions à la machine. Bien que jamais achevée, cette invention pose les principes fondamentaux de l’ordinateur programmable."
1837,Invention du code Morse,Samuel Morse,card_1837.png,Samuel Morse invente un alphabet composé uniquement de points et de traits. Chaque lettre est transformée en une suite de signaux électriques pouvant être transmise sur de longues distances. C'est l'une des premières représentations numériques de l'information.
1843,Le 1er programme informatique,Ada Lovelace,card_1843.png,"Au Royaume-Uni, Ada Lovelace écrit le premier programme informatique pour la machine analytique de Charles Babbage. Son algorithme permet de calculer les nombres de Bernoulli, illustrant la puissance des instructions programmées et posant les bases du logiciel moderne."
1854,Algèbre de Boole,George Boole,card_1854.png,"Le britannique George Boole propose une nouvelle forme de logique symbolique. Il réduit le raisonnement humain à deux états fondamentaux : le Vrai (1) et le Faux (0). Ses opérations logiques (ET, OU, NON) permettent de traiter des variables binaires par le calcul. Tombée dans l'oubli, cette théorie devient en 1937 le fondement des circuits électroniques modernes. Sans cette algèbre, l'architecture des ordinateurs et des logiciels actuels n'existerait pas."
1936,La machine universelle et le décryptage d’Enigma,Alan Turing,card_1936.png,"Pionnier visionnaire de l’informatique et héros méconnu de la Seconde Guerre mondiale. En 1936, Alan Turing pose les bases théoriques du calcul avec sa « Machine universelle », ancêtre conceptuel de tous les ordinateurs. À Bletchley Park, il conçoit et perfectionne la Bombe, machine qui permit de déchiffrer les messages codés par Enigma, contribuant ainsi de manière décisive à la victoire des Alliés."
1937,Application de l’algèbre de Boole aux circuits,Claude Shannon,card_1937.png,"Dans son mémoire de master, Claude Shannon démontre que l'algèbre de Boole peut être utilisée pour concevoir des circuits électriques à relais. Il montre que les opérations logiques (ET, OU, NON) peuvent être réalisées par des interrupteurs électriques. Cette découverte relie les mathématiques à l'électronique et constitue le véritable acte de naissance de l'informatique numérique moderne."
1941,1er ordinateur programmable fonctionnel,Konrad Zuse,card_1941.png,"Konrad Zuse construit en Allemagne le Z3, premier ordinateur programmable entièrement automatique utilisant des relais électromécaniques. Capable d'exécuter des programmes enregistrés sur une bande perforée, il réalise des calculs complexes sans intervention humaine. Détruit pendant la Seconde Guerre mondiale, il reste aujourd'hui considéré comme le premier ordinateur programmable opérationnel de l'histoire."
1945,L’ordinateur moderne,John von Neumann,card_1945.png,"Le mathématicien John Von Neumann formalise l'architecture des ordinateurs modernes dans son rapport sur l'EDVAC. Il propose de stocker les programmes et les données dans une même mémoire, permettant à la machine de modifier facilement les instructions qu'elle exécute. Cette architecture, composée d'un processeur, d'une mémoire et d'entrées/sorties, est encore utilisée par l'immense majorité des ordinateurs actuels."
1945,ENIAC: le 1er ordinateur à tubes à vide,,card_1945_2.png,"Electronic Numerical Integrator and Computer, 1er ordinateur électronique programmable à usage général, construit à l’Université de Pennsylvanie sous la direction de John Mauchly et J. Presper Eckert pour l’armée américaine. Avec ses 18 000 tubes à vide, 70 000 résistances, 10 000 condensateurs et 1 500 relais, il occupait une pièce entière (167 m²) et consommait 150 kW. Destiné initialement au calcul de tables de tir balistique, il fut dévoilé en 1946 et marqua le début de l’ère de l’informatique électronique moderne."
1947,Invention du transistor,,card_1947.png,"J. Bardeen, W. Shockley et W. Brattain des laboratoires Bell réalisent le premier transistor bipolaire, ouvrant l’ère de l’électronique moderne. Développé simultanément en Europe avec le transistron, le transistor remplace les lampes à vide et rend possible la miniaturisation des machines de calcul. Il deviendra le fondement de l’informatique et des technologies numériques."
1948,Théorie de l’information,Claude Shannon,card_1948.png,"Claude Shannon publie A Mathematical Theory of Communication. Il introduit le bit comme unité fondamentale de l'information et montre comment mesurer, transmettre et protéger les données contre les erreurs. Ses travaux fondent les télécommunications, Internet et les systèmes numériques modernes."
1952,L’invention du 1er compilateur et le terme « Bug »,Grace Hopper,card_1952.png,"Pionnière de l’informatique et contre-amirale de l’US Navy. En 1952, elle crée le premier compilateur (A-0), qui automatise la traduction des programmes : une révolution qui ouvre la voie aux langages de haut niveau. En 1947, un papillon de nuit coincé dans le Harvard Mark II inspire le terme « bug » pour une erreur de programme et l’expression « déboguer » (debug), entrées dans le langage courant grâce à elle."
1956,Naissance de l’intelligence artificielle,Conférence de Dartmouth,card_1956.png,"À l'été 1956, John McCarthy, Marvin Minsky, Claude Shannon et plusieurs chercheurs se réunissent au Dartmouth College. Ils donnent naissance au terme « Intelligence Artificielle » et imaginent des machines capables de raisonner, d'apprendre et de résoudre des problèmes. Cette conférence marque le début officiel d'un domaine de recherche qui transformera profondément l'informatique."
1958,Invention du circuit intégré,,card_1958.png,"Jack Kilby puis Robert Noyce inventent le circuit intégré, qui regroupe plusieurs composants électroniques sur une seule puce de silicium. Au lieu d'assembler individuellement des milliers de transistors, résistances et condensateurs, il devient possible de les fabriquer ensemble. Cette innovation réduit considérablement la taille, le coût et la consommation des ordinateurs, ouvrant la voie aux microprocesseurs, aux ordinateurs personnels et aux smartphones."
1964,Invention du langage BASIC,,card_1964.png,"John Kemeny et Thomas Kurtz créent le langage BASIC (Beginner's All-purpose Symbolic Instruction Code) afin de rendre la programmation accessible aux étudiants. Facile à apprendre, il devient le langage privilégié des premiers micro-ordinateurs des années 1970 et 1980. Des millions de personnes découvrent ainsi la programmation grâce à BASIC."
1965,Loi de Moore: Les puces deviennent plus puissantes,,card_1965.png,"Gordon Moore, cofondateur d'Intel, observe que le nombre de transistors présents sur une puce double environ tous les deux ans. Cette progression spectaculaire permet d'augmenter continuellement la puissance des ordinateurs tout en réduisant leur coût. Pendant plus d'un demi-siècle, cette loi empirique guidera toute l'industrie des semi-conducteurs."
1965,Premier email,,card_1965_2.png,"Cette innovation marque le début de la messagerie électronique, qui deviendra l’un des outils de communication les plus utilisés au monde."
1968,"La souris, les fenêtres et le copier-coller",Douglas Engelbart,card_1968.png,"Le 9 décembre 1968, Douglas Engelbart présente en direct une série d'innovations qui semblent venues du futur : la souris, les fenêtres, le copier-coller, l'édition collaborative, les hyperliens et la visioconférence. Cette présentation, surnommée « The Mother of All Demos », influence profondément Apple, Microsoft et toute l'informatique moderne."
1969,ARPANET: Les débuts d’Internet,,card_1969.png,"Le département américain de la Défense met en service ARPANET, premier réseau reliant plusieurs ordinateurs distants. Le premier message envoyé ne contient que les lettres « LO », la machine ayant planté avant d'écrire « LOGIN ». Conçu pour partager des ressources informatiques entre centres de recherche, ARPANET introduit les principes de communication en réseau qui donneront naissance à Internet quelques décennies plus tard."
1969,UNIX : Le système d’exploitation moderne,,card_1969_2.png,"Aux laboratoires Bell, Ken Thompson et Dennis Ritchie développent UNIX, un système d'exploitation simple, portable et multi-utilisateur. Conçu autour de petits programmes spécialisés pouvant être combinés entre eux, UNIX influence profondément toute l'informatique moderne. Linux, macOS, Android et les OS  actuels en sont directement héritiers."
1970,Les bases de données relationnelles,Edgar F. Codd,card_1970.png,"Le chercheur britannique Edgar F. Codd publie un modèle révolutionnaire pour organiser les données sous forme de tables reliées entre elles. Les bases de données relationnelles facilitent le stockage, la recherche et la mise à jour de grandes quantités d'informations. Elles deviennent rapidement le fondement des banques, des administrations, des entreprises et plus tard des sites Internet."
1971,Arobase,,card_1971.png,"L’ingénieur Ray Tomlinson choisit le symbole @ pour séparer le nom de l’utilisateur du nom de l’ordinateur dans les premières adresses e-mail. Simple caractère typographique, l’arobase devient rapidement l’emblème universel du courrier électronique. Aujourd’hui, elle symbolise plus largement Internet et la communication numérique."
1971,1er microprocesseur commercial,,card_1971_2.png,"Le Intel 4004 a été conçu par Federico Faggin, Ted Hoff, Stanley Mazor (Intel) et Masatoshi Shima (Busicom). Intégrant 2 300 transistors sur une puce de 12 mm², il exécutait 60 000 instructions par seconde. Initialement créé pour alimenter une calculatrice de bureau (Busicom 141-PF), il a posé les fondations de tous les processeurs modernes et lancé la révolution de l’informatique personnelle."
1972,Langage C: à la base de l’informatique moderne,Dennis Ritchie,card_1972.png,"Dennis Ritchie développe le langage C dans les laboratoires Bell pour programmer le système Unix. Rapide, portable et proche du matériel, il devient l'un des langages les plus influents de l'histoire. De nombreux systèmes d'exploitation, logiciels et langages modernes (C++, Java, C#, Python...) héritent directement de ses concepts."
1973,Naissance d’Ethernet,Robert Metcalfe,card_1973.png,"Robert Metcalfe invente Ethernet au Xerox PARC afin de permettre à plusieurs ordinateurs de communiquer au sein d’un même réseau local. Basée initialement sur un câble partagé et un mécanisme de détection des collisions, cette technologie devient progressivement le standard mondial des réseaux informatiques. Toujours utilisée aujourd’hui dans les entreprises comme dans les foyers, Ethernet constitue l’une des briques fondamentales de l’infrastructure Internet moderne."
1975,Naissance de Microsoft,,card_1975.png,"En 1975, Bill Gates et Paul Allen fondent Microsoft à Albuquerque. Leur premier succès repose sur l'adaptation du langage BASIC pour l'Altair 8800. L'entreprise décolle véritablement en 1980 grâce à un contrat historique avec IBM. Elle devient alors le géant mondial des logiciels avec le système MS-DOS."
1977,Entrée de l’informatique dans les foyers,(Apple II),card_1977.png,"1er ordinateur personnel vraiment accessible au grand public Conçu par S. Wozniak et commercialisé par S. Jobs chez Apple. Équipé d’un processeur 6502 à 1 MHz, de 4 Ko de RAM (extensible à 48 Ko), de graphismes couleur (haute résolution 280×192) et d’un clavier intégré. Vendu avec un boîtier beige iconique et le logo arc-en-ciel, il popularisa le BASIC, les jeux (comme Breakout), VisiCalc (premier tableur) et fit entrer l’informatique dans les foyers, les écoles et les petites entreprises."
1979,VisiCalc: Le logiciel qui vend les ordinateurs,,card_1979.png,"VisiCalc devient le premier tableur électronique disponible sur l'Apple II. Pour la première fois, les entreprises peuvent recalculer instantanément leurs tableaux financiers. Beaucoup achètent un ordinateur uniquement pour utiliser VisiCalc, faisant de lui la première véritable « killer application » de l'histoire de l'informatique."
1980,Naissance du minitel,,card_1980.png,"Les ingénieurs français du CNET et du CCETT imaginent un réseau interactif reliant les citoyens à l’information par le téléphone. Soutenu par le réseau Transpac, le Minitel donne naissance au Télétel et annonce la fin du papier. Précurseur d’Internet, il ouvre l’ère des services numériques grand public en France."
1981,Le PC devient un standard,(IBM PC),card_1981.png,"IBM commercialise son premier Personal Computer (IBM PC 5150), destiné à rendre l’informatique accessible aux entreprises et aux particuliers. Grâce à son architecture ouverte, de nombreux fabricants peuvent produire des ordinateurs compatibles, créant rapidement un vaste écosystème autour du standard PC. Associé au système MS-DOS, il impose une nouvelle référence mondiale qui dominera durablement le marché de l’informatique personnelle."
1982,Entrée de l’informatique dans les foyers,(Commodore 64),card_1982.png,"Le roi incontesté des années 80 Avec plus de 12 à 17 millions d’unités vendues, le « C64 » fut l’ordinateur qui transforma le salon familial en salle de jeux et d’apprentissage. Son son SID inimitable, ses sprites multicolores et son prix cassé (595$ puis rapidement 200$) firent naître une génération de programmeurs, musiciens et gamers amateurs."
1983,Projet GNU,Richard Stallman,card_1983.png,"En 1983, Richard Stallman lance le projet GNU pour créer un système d'exploitation libre. Réagissant à la fermeture des codes sources, il rédige le Manifeste GNU deux ans plus tard. Il définit ainsi les quatre libertés fondamentales : utiliser, étudier, modifier et redistribuer. Cette initiative donne naissance au mouvement du logiciel libre et à la licence GPL. Le projet fusionnera plus tard avec le noyau Linux pour former le système GNU/Linux."
1984,L’ordinateur à interface graphique,(Macintosh),card_1984.png,"Apple commercialise le Macintosh, premier ordinateur personnel à populariser l'interface graphique et la souris auprès du grand public. Grâce à ses fenêtres, ses icônes et son utilisation intuitive, il rend l'informatique plus accessible. Il contribue à imposer les interfaces graphiques que l'on retrouve aujourd'hui sur tous les ordinateurs."
1989,L’invention du web,(World Wide Web),card_1989.png,"Au CERN, Tim Berners-Lee propose le World Wide Web afin de faciliter le partage de documents scientifiques entre chercheurs. Il invente les trois technologies fondamentales du Web : les pages HTML, les liens hypertextes et le protocole HTTP, ainsi que le premier navigateur permettant de les consulter. D’abord conçu pour la communauté scientifique, le Web transforme progressivement Internet en un espace mondial d’échange d’informations et révolutionne l’accès aux connaissances."
1991,Noyau Linux,Linus Torvalds,card_1991.png,"Linus Torvalds, étudiant finlandais de 21 ans, commence le développement d'un nouveau noyau de système d'exploitation. Il poste son célèbre message en août, demandant des retours sur son ""hobby"", qu'il ne prévoit pas ""grand ni professionnel"". En septembre, la version 0.01 est rendue disponible, composée de seulement 10 239 lignes de code. La licence GPL est rapidement adoptée pour le projet, encourageant la collaboration mondiale. Ce noyau, nommé Linux, deviendra la pièce manquante cruciale pour compléter le système GNU."
1993,Le Web devient accessible,(Navigateur Mosaic),card_1993.png,"Développé au NCSA, Mosaic est le premier navigateur graphique à connaître un large succès. Pour la première fois, textes, images et hyperliens s'affichent dans une même fenêtre conviviale. Mosaic démocratise le World Wide Web et ouvre la voie aux navigateurs modernes comme Netscape, Firefox, Chrome et Edge."
1994,Naissance du commerce en ligne,(Amazon),card_1994.png,Jeff Bezos fonde Amazon comme librairie en ligne. L'entreprise démontre qu'il est possible d'acheter des produits directement sur Internet en quelques clics. Amazon deviendra l'un des plus grands acteurs mondiaux du commerce électronique et contribuera à transformer durablement les habitudes de consommation.
1995,Wiki,,card_1995.png,"En mars 1995, Ward Cunningham lance le WikiWikiWeb, le premier site web éditable par ses visiteurs. Inspiré par le mot hawaïen ""wiki"" signifiant ""rapide"", il souhaite faciliter le partage de motifs de programmation. Le concept révolutionne le Web en permettant à quiconque de modifier le contenu sans compétences techniques. Cette architecture collaborative repose sur la confiance et la correction par les pairs plutôt que sur le contrôle. Six ans plus tard, ce modèle de ""sagesse des foules"" servira de fondation à la création de Wikipédia."
1997,IBM Deep Blue vs Garry Kasparov,,card_1997.png,"Le jour où la machine a vaincu le roi des échecs Le 11 mai 1997, après un match intense de six parties, Deep Blue d’IBM bat Garry Kasparov, champion du monde en titre. Cette victoire historique, fruit de 11 ans de recherche chez IBM, a prouvé que la force brute de calcul pouvait surpasser l’intuition humaine dans un domaine aussi complexe que les échecs, ouvrant la voie aux avancées modernes de l’IA."
1998,Apparition de Google : L’information du monde se structure,,card_1998.png,"Larry Page et Sergey Brin créent Google en s'appuyant sur un nouvel algorithme de classement des pages Web : PageRank. Contrairement aux moteurs de recherche existants, il mesure la popularité des pages grâce aux liens entre les sites. Google révolutionne la recherche d'informations sur Internet et devient rapidement le moteur de recherche le plus utilisé au monde."
2001,Naissance de Wikipedia,,card_2001.png,"Encyclopédie universelle et multilingue cofondée par Jimmy Wales et Larry Sanger. Il s'agit d'une œuvre libre, c'est-à-dire que chacun est libre de la rediffuser. Gérée en wiki dans le site web wikipedia.org, elle permet à tous les internautes d'écrire et de modifier des articles, ce qui lui vaut d'être qualifiée d'encyclopédie participative. En outre Wikipédia est le site qui représente le mieux l'esprit d'Internet."
2004,Facebook : Les réseaux sociaux,,card_2004.png,"Créé par Mark Zuckerberg avec plusieurs étudiants de Harvard, Facebook permet de créer un profil, partager des contenus et communiquer avec ses proches. Le réseau social connaît une croissance fulgurante et transforme durablement les échanges sur Internet. Il inaugure l'ère des plateformes sociales mondiales."
2005,YouTube : La vidéo pour tous,,card_2005.png,"Fondé par trois anciens employés de PayPal, YouTube permet à chacun de publier et regarder des vidéos gratuitement sur Internet. En quelques années, la plateforme devient la principale bibliothèque vidéo mondiale et révolutionne la diffusion des connaissances, de la musique et du divertissement."
2007,Iphone : le smartphone moderne,,card_2007.png,"Apple présente l’iPhone, un appareil qui combine téléphone mobile, baladeur numérique, navigateur Internet et ordinateur de poche dans une interface entièrement tactile. Avec son écran multipoint et son système d’exploitation pensé pour les applications mobiles, il transforme profondément la manière d’interagir avec les technologies numériques. Le smartphone devient progressivement un véritable ordinateur personnel connecté, utilisé par des milliards de personnes."
2008,Android : le Système d’exploitation des smartphones,,card_2008.png,"Google lance Android, un système d'exploitation libre destiné aux téléphones mobiles. Adopté par de nombreux fabricants, il favorise l'essor des smartphones et des applications mobiles. Aujourd'hui, Android équipe la majorité des téléphones intelligents dans le monde."
2009,Bitcoin et la blockchain,Satoshi Nakamoto,card_2009.png,"Sous le pseudonyme de Satoshi Nakamoto, un auteur inconnu présente Bitcoin, première monnaie numérique fonctionnant sans banque centrale. Son innovation repose sur la blockchain, un registre distribué garantissant l'intégrité des transactions grâce à la cryptographie. Cette technologie ouvrira la voie aux cryptomonnaies et à de nombreuses applications de confiance numérique."
2018,Entrée en vigueur du RGPD,,card_2018.png,"Le Règlement Général sur la Protection des Données, renforce les droits des citoyens européens sur leurs données personnelles et impose de nouvelles obligations aux entreprises et aux organisations du monde entier. Véritable tournant dans la gouvernance du numérique, le RGPD devient rapidement une référence mondiale pour la protection de la vie privée."
2022,ChatGPT : L’essor de l’IA générative,,card_2022.png,"OpenAI lance ChatGPT, un agent conversationnel basé sur un grand modèle de langage (LLM) capable de comprendre et de produire du texte en langage naturel. En permettant de dialoguer, programmer, traduire ou rédiger des contenus, il rend l’intelligence artificielle générative accessible au grand public. Son adoption massive marque une nouvelle étape de la révolution numérique et transforme progressivement la manière dont les humains interagissent avec les outils informatiques."
